schema,table,policy,cmd,qual,with_check,literal_roles,proposed_helper,risk,flow_impact
public,ads_task_comments,Users can view comments on tasks they can access,SELECT,"(EXISTS ( SELECT 1
   FROM ads_tasks t
  WHERE ((t.id = ads_task_comments.task_id) AND ((t.ads_manager_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM user_roles ur
          WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role])))))))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Comentários task ADS
public,ads_task_delay_justifications,Authorized roles can view justifications by role,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['gestor_ads'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,ads_task_delay_justifications,CEO can view all justifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,ads_task_delay_justifications,Only CEO can archive justifications,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))","(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,ads_task_delay_notifications,Admins podem deletar notificações,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,ads_task_delay_notifications,Notificações de atraso visíveis para cargos específicos,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['gestor_ads'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,ads_task_delay_notifications,Usuários autenticados podem inserir notificações,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['gestor_ads'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,ads_tasks,Authorized roles can view all ads tasks for monitoring,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Kanban ADS
public,atrizes_briefings,atrizes_briefings_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'atrizes_gravacao'::user_role])))))",,atrizes_gravacao|ceo|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'atrizes_gravacao'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,atrizes_briefings,atrizes_briefings_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'atrizes_gravacao'::user_role, 'sucesso_cliente'::user_role])))))",atrizes_gravacao|ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'atrizes_gravacao'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Briefings departamento
